season,team,round_start,absences_count,sum_weight_minutes,sum_weight_attack,sum_weight_defense,sum_impact_attack,sum_impact_defense,sum_impact_total,team_minutes_total,team_goals_total,team_defense_total_conceded,team_defense_total_xga
2026,C大阪,4,2,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,2.0,0,0
2026,C大阪,6,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,2.0,0,0
2026,C大阪,10,2,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,2.0,0,0
2026,C大阪,11,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,2.0,0,0
2026,C大阪,13,1,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,2.0,0,0
2026,FC大阪,5,1,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,2.0,0,0
2026,FC大阪,15,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,2.0,0,0
2026,FC東京,5,1,0.042553,0.0,0.042553,0.0,0.042553,0.034043,4230.0,4.0,0,0
2026,FC東京,6,1,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,4.0,0,0
2026,FC東京,9,2,0.12766,0.0,0.12766,0.0,0.12766,0.102128,4230.0,4.0,0,0
2026,FC東京,14,1,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,4.0,0,0
2026,G大阪,3,1,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,0.0,0,0
2026,G大阪,4,3,0.09375,0.0,0.09375,0.0,0.09375,0.07500000000000001,2880.0,0.0,0,0
2026,G大阪,12,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,0.0,0,0
2026,いわき,9,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,4.0,0,0
2026,いわき,10,1,0.0625,0.25,0.0625,0.25,0.0625,0.1,2880.0,4.0,0,0
2026,いわき,11,1,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,4.0,0,0
2026,いわき,14,1,0.0625,0.25,0.0625,0.25,0.0625,0.1,2880.0,4.0,0,0
2026,いわき,16,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,4.0,0,0
2026,ロアッソ熊本,7,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,3.0,0,0
2026,ロアッソ熊本,8,2,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,3.0,0,0
2026,ロアッソ熊本,10,2,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,3.0,0,0
2026,ロアッソ熊本,12,1,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,3.0,0,0
2026,京都,8,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,2.0,0,0
2026,京都,10,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,2.0,0,0
2026,京都,11,1,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,2.0,0,0
2026,京都,13,2,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,2.0,0,0
2026,京都,15,1,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,2.0,0,0
2026,今治,4,1,0.066667,0.0,0.066667,0.0,0.066667,0.053333,2700.0,0.0,0,0
2026,今治,11,1,0.066667,0.0,0.066667,0.0,0.066667,0.053333,2700.0,0.0,0,0
2026,仙台,9,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,5.0,0,0
2026,仙台,10,1,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,5.0,0,0
2026,仙台,11,1,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,5.0,0,0
2026,仙台,14,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,5.0,0,0
2026,八戸,7,1,0.066667,1.0,0.066667,1.0,0.066667,0.253333,2700.0,1.0,0,0
2026,八戸,10,1,0.033333,0.0,0.033333,0.0,0.033333,0.026667,2700.0,1.0,0,0
2026,八戸,14,1,0.066667,0.0,0.066667,0.0,0.066667,0.053333,2700.0,1.0,0,0
2026,北九州,9,3,0.200001,0.0,0.200001,0.0,0.200001,0.159999,2700.0,1.0,0,0
2026,北九州,13,1,0.033333,0.0,0.033333,0.0,0.033333,0.026667,2700.0,1.0,0,0
2026,北九州,14,1,0.066667,0.0,0.066667,0.0,0.066667,0.053333,2700.0,1.0,0,0
2026,千葉,12,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,0.0,0,0
2026,名古屋,3,1,0.021277,0.0,0.021277,0.0,0.021277,0.017021,4230.0,2.0,0,0
2026,名古屋,9,1,0.06383,0.0,0.06383,0.0,0.06383,0.051064,4230.0,2.0,0,0
2026,名古屋,10,1,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,2.0,0,0
2026,大分,7,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,1440.0,2.0,0,0
2026,大分,8,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,1440.0,2.0,0,0
2026,大分,12,1,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,2.0,0,0
2026,大宮,4,2,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,11.0,0,0
2026,大宮,5,1,0.06383,0.090909,0.06383,0.090909,0.06383,0.069246,4230.0,11.0,0,0
2026,大宮,6,1,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,11.0,0,0
2026,大宮,9,1,0.06383,0.0,0.06383,0.0,0.06383,0.051064,4230.0,11.0,0,0
2026,奈良クラブ,7,1,0.040816,0.0,0.040816,0.0,0.040816,0.032653,4410.0,3.0,0,0
2026,富山,7,2,0.09375,0.0,0.09375,0.0,0.09375,0.07500000000000001,2880.0,5.0,0,0
2026,富山,16,1,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,5.0,0,0
2026,山口,5,1,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,3.0,0,0
2026,山口,15,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,3.0,0,0
2026,山形,7,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,4320.0,5.0,0,0
2026,山形,8,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,4320.0,5.0,0,0
2026,山形,12,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,4320.0,5.0,0,0
2026,山形,14,1,0.0,0.0,0.0,0.0,0.0,0.0,4320.0,5.0,0,0
2026,岐阜,12,1,0.064516,0.0,0.064516,0.0,0.064516,0.051613,2790.0,4.0,0,0
2026,岐阜,13,1,0.064516,0.5,0.064516,0.5,0.064516,0.151613,2790.0,4.0,0,0
2026,岐阜,14,1,0.064516,0.0,0.064516,0.0,0.064516,0.051613,2790.0,4.0,0,0
2026,岐阜,15,1,0.064516,0.0,0.064516,0.0,0.064516,0.051613,2790.0,4.0,0,0
2026,岡山,9,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,2.0,0,0
2026,川崎F,6,1,0.0,0.0,0.0,0.0,0.0,0.0,4320.0,6.0,0,0
2026,川崎F,7,2,0.041667,0.0,0.041667,0.0,0.041667,0.033333,4320.0,6.0,0,0
2026,川崎F,9,2,0.125,0.0,0.125,0.0,0.125,0.1,4320.0,6.0,0,0
2026,川崎F,10,1,0.0,0.0,0.0,0.0,0.0,0.0,4320.0,6.0,0,0
2026,川崎F,12,2,0.041667,0.0,0.041667,0.0,0.041667,0.033333,4320.0,6.0,0,0
2026,川崎F,15,1,0.0625,0.5,0.0625,0.5,0.0625,0.15,4320.0,6.0,0,0
2026,広島,4,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,4.0,0,0
2026,広島,15,1,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,4.0,0,0
2026,徳島,10,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,10.0,0,0
2026,徳島,11,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,10.0,0,0
2026,徳島,13,1,0.0625,0.2,0.0625,0.2,0.0625,0.09,2880.0,10.0,0,0
2026,徳島,14,2,0.0625,0.2,0.0625,0.2,0.0625,0.09,2880.0,10.0,0,0
2026,徳島,15,1,0.0625,0.1,0.0625,0.1,0.0625,0.07,2880.0,10.0,0,0
2026,徳島,16,2,0.125,0.2,0.125,0.2,0.125,0.14,2880.0,10.0,0,0
2026,新潟,13,1,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,1.0,0,0
2026,新潟,14,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,1.0,0,0
2026,新潟,16,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,1.0,0,0
2026,札幌,4,1,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,3.0,0,0
2026,札幌,5,2,0.06383,0.333333,0.06383,0.333333,0.06383,0.11773,4230.0,3.0,0,0
2026,札幌,6,1,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,3.0,0,0
2026,札幌,10,1,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,3.0,0,0
2026,札幌,11,2,0.085107,0.0,0.085107,0.0,0.085107,0.068085,4230.0,3.0,0,0
